left,right,pearson_corr
search_to_ord,to_ord,0.9798768806470343
search_to_cart,to_cart,0.975736274305506
search_to_cart,search_to_ord,0.57542265504929
to_cart,to_ord,0.5725064685804166
search_to_cart,to_ord,0.5660788718620643
search_to_ord,to_cart,0.5598886121383333
searches,search_to_cart,0.5594895460835144
searches,to_cart,0.5528063866835781
cat_to_cart,cat_to_ord,0.4979386122235657
searches,search_to_ord,0.4725311916016599
searches,to_ord,0.4702059401125191
cat_to_cart,to_cart,0.3393808437032354
cat_to_ord,to_ord,0.2868079788957241
cat_to_ord,to_cart,0.16946559678968745
cat_to_cart,to_ord,0.16223286131511874
search_to_cart,cat_to_cart,0.1251919048088015
searches,cat_to_cart,0.10127418509617962
search_to_ord,cat_to_ord,0.08981935188922764
searches,cat_to_ord,0.07828619511171489
search_to_ord,cat_to_cart,0.06491433571286231
search_to_cart,cat_to_ord,0.06283863888277273
